CITY,POSTAL CODE
Ahrensburg,22926
Ascheberg,24326
Bad Bocklet,97708
Bad Endorf,83093
Bad Lippspringe,33175
Bad Mergentheim,97980
Bad Muskau,2953
Bad Oldesloe,23843
Bad Salzuflen,32105
Bad Schonborn,76669
Bad Zwischenahn,26160
Bad Zwischenahn,26160
Baden-Baden,76530
Berlin,10117
Berlin,10117
Berlin,10179
Berlin,10623
Berlin,10623
Berlin,10785
Berlin,10785
Berlin,10787
Berlin,13055
Berlin,13055
Berlin,13507
Boltenhagen,23946
Bremen,28215
Bremerhaven,27572
Deidesheim,67146
Dierhagen,18347
Ditzingen,71254
Dresden,1067
Dresden,1067
Dresden,1069
Dresden,1097
Dresden,1097
Dresden,1099
Dresden,1157
Ehingen,89584
Emmendingen,79312
Erding,85435
Freiburg im Breisgau,79098
Garmisch-Partenkirchen,82467
Gotha,99867
Hamburg,22297
Hamburg,22527
Hamburg,22609
Hannover,30169
Hannover,30659
Heilbronn,74080
Hennigsdorf,16761
Hinterzarten,79856
Hohwacht,24321
Kaltenkirchen,24568
Kiel,24105
Kronberg im Taunus,61476
Lam,93462
Lindau,88131
Ludwigshafen am Rhein,67059
Mannheim,68199
Masserberg,98666
Meerane,8393
Miesbach,83714
Munich,80469
Munich,81829
Neu Isenburg,63263
Neukirchen-Pleisse,8459
Neuruppin,16816
Neustrelitz,17235
Oberammergau,82487
Oberstaufen,87534
Oberstdorf,87561
Oberstdorf,87561
Offenbach,63067
Osterfeld,6721
Pforzheim,75175
Potsdam,14467
Potsdam,14471
Rain,86641
Regensburg,93051
Reinbek,21465
Rottach-Egern,83700
Saarbruecken,66117
Sankt Peter-Ording,25826
Sankt Peter-Ording,25826
Scharbeutz,23683
Schwerin,19053
Schwerin,19055
Stuttgart,70173
Stuttgart,70499
Stuttgart,70567
Timmendorfer Strand,23669
Timmendorfer Strand,23669
Unterreichenbach,75399
Wandlitz,16348
Wangels,23758
Weimar,99423
Wenningstedt,25996
Willingen,34508
Wittmund,26409
Wolfach,77709
